Reactant,product,5p dft,5p catscore,accuracy,10p dft,10p catscore,accuracy,20p dft,20p catscore,accuracy,50p dft,50p catscore,accuracy,100p dft,100p catscore,accuracy,target dft,f_theta,accuracy,1layer,1layer catscore,accuracy,2layer,2layer catscore,accuracy,3layer,3layer catscore,accuracy,4layer,4layer catscore,accuracy,5layer,5layer catscore,accuracy,base dft,base catscore,accuracy,large dft,large catscore,accuracy
C=C(c1ccccc1)C(C)(C)C,C[C@H](c1ccccc1)C(C)(C)C,nofit,0.9161642706,1,nofit,0.9122770224,1,nofit,0.9444122695,1,nofit,0.9621833608,1,nofit,0.5386400316,1,nofit,0.8565373263,1,nofit,0.856537773,1,nofit,0.9731457684,1,nofit,0.8565375049,1,nofit,0.8565375049,1,nofit,0.9377973929,1,nofit,0.9731457684,1,nofit,0.3400428586,0
C/C(=C\c1ccccc1)c1ccccc1,C[C@H](Cc1ccccc1)c1ccccc1,nofit,0.8897807662,1,nofit,0.1514240841,0,nofit,0.9703705616,1,nofit,0.85866319,1,nofit,0.9874264711,1,nofit,0.9703705616,1,nofit,0.9703705616,1,nofit,0.9670201427,1,nofit,0.9670201427,1,nofit,0.9703705616,1,nofit,0.9703705616,1,nofit,0.9703705616,1,nofit,0.9670201427,1
CC(=O)NC1=C(c2ccccc2)CCCC1,CC(=O)N[C@H]1CCCC[C@H]1c1ccccc1,nofit,0.7622774528,1,nofit,0.9432983264,1,nofit,0.7622774528,1,nofit,0.8876383397,1,nofit,0.5932389401,1,nofit,0.9578187121,1,nofit,0.8876385249,1,nofit,0.8876383397,1,nofit,0.8876383397,1,nofit,0.7803738772,1,nofit,0.8876383397,1,nofit,0.5932389401,1,nofit,0.9578187121,1
C/C(=C\c1ccccc1)c1ccccc1,C[C@@H](Cc1ccccc1)c1ccccc1,nofit,0.1102020997,0,nofit,0.8483990183,1,nofit,0.02958891553,0,nofit,0.8446399401,1,nofit,0.9555786446,1,nofit,0.7020985259,1,nofit,0.955578755,1,nofit,0.9483469837,1,nofit,0.9555786446,1,nofit,0.8687205401,1,nofit,0.8573561322,1,nofit,0.8687205401,1,nofit,0.03295747001,0
COC(=O)/C=C(\NC(C)=O)c1ccc(OC)cc1,COC(=O)C[C@@H](NC(C)=O)c1ccc(OC)cc1,nofit,0.03998140527,0,nofit,0.9963703021,1,nofit,0.2576420334,0,nofit,0.03998140527,0,nofit,0,0,nofit,0.9961031532,1,nofit,0.03998124322,0,nofit,0.9983715147,1,nofit,0.9966209063,1,nofit,0.9983715147,1,nofit,0.8388953122,1,nofit,0.4743052358,0,nofit,0.9961031532,1
C=C(CCCC)B1OC(C)(C)C(C)(C)O1,CCCC[C@@H](C)B1OC(C)(C)C(C)(C)O1,not found,0.4578209454,0,not found,0.4416672471,0,not found,0.429725569,0,not found,0.6201470383,1,not found,0.9354679432,1,not found,0.9354679432,1,not found,0.9354680478,1,not found,0.9354679432,1,not found,0.9354679432,1,not found,0.9354679432,1,not found,0.9354679432,1,not found,0.4196959077,0,not found,0.9354679432,1
COC(=O)/C(=C\c1ccccc1)NC(C)=O,COC(=O)[C@@H](Cc1ccccc1)NC(C)=O,nofit,0.823647369,1,nofit,0.9834797202,1,nofit,0.9269758805,1,nofit,0.823647369,1,nofit,0.5116649253,1,nofit,0.1408225364,0,nofit,0.516366127,1,nofit,0.5143986271,1,nofit,0.5143986271,1,nofit,0.4833081153,0,nofit,0.5143986271,1,nofit,0.5143986271,1,nofit,0.516366127,1
O=C(O)/C(=C/c1ccccc1)CO,O=C(O)[C@H](CO)Cc1ccccc1,nofit,0.6479883673,1,nofit,0.2134880727,0,nofit,0.466060718,0,nofit,0.6479883673,1,nofit,0.8448666842,1,nofit,0.8448665079,1,nofit,0.8448666842,1,nofit,0.8448666842,1,nofit,0.8448666842,1,nofit,0.8448666842,1,nofit,0.8448666842,1,nofit,0.8448666842,1,nofit,0.8448666842,1
C/C(=C\c1ccccc1)c1ccccc1,C[C@@H](Cc1ccccc1)c1ccccc1,nofit,0.1102020997,0,nofit,0.8483990183,1,nofit,0.02958891553,0,nofit,0.8446399401,1,nofit,0.9555786446,1,nofit,0.9542255096,1,nofit,0.9555785342,1,nofit,0.9483469837,1,nofit,0.9555786446,1,nofit,0.8687205401,1,nofit,0.8573561322,1,nofit,0.8687205401,1,nofit,0.03295747001,0
C=C(/C=C\C)/C=C(\C)c1ccccc1,C=C(/C=C\C)C[C@@H](C)c1ccccc1,nofit,0.4057086232,0,0.5006207077,0.1494490315,0,nofit,0.9457145735,1,nofit,0.9306687854,1,nofit,0.4411188608,0,nofit,0.9523552126,1,nofit,0.9744195863,1,nofit,0.4411188608,0,nofit,0.9523553226,1,nofit,0.4411188608,0,nofit,0.4411188608,0,nofit,0.9744196988,1,nofit,0.9488858708,1
