Reactant,product,5p dft,5p catscore,accuracy,10p dft,10p catscore,accuracy,20p dft,20p catscore,accuracy,50p dft,50p catscore,accuracy,100p dft,100p catscore,accuracy,1layer,1layer catscore,accuracy,2layer,2layer catscore,accuracy,3layer,3layer catscore,accuracy,4layer,4layer catscore,accuracy,5layer,5layer catscore,accuracy,base dft,base catscore,accuracy,large dft,large catscore,accuracy,target dft,f_theta,accuracy
COCC1=C(c2ccc(OC)cc2)CCCC1,COC[C@H]1CCCC[C@H]1c1ccc(OC)cc1,0.9543714029,0.8293880155,1,0.7150148153,0.7839035899,1,0.9498984228,0.6791061563,1,0.9012190934,0.4945206877,0,0.9831890688,0.9185799336,1,0.8837348783,0.8729244399,1,0.9377011571,0.8890583441,1,0.9453400457,0.8478136495,1,0.8837348783,0.872924622,1,0.8625913947,0.9185799336,1,0.8625913947,0.9196690891,1,0.9453400457,0.8798425443,1,0.9573869796,0.8693391532,1
C=C(CCCC)OC(=O)C(C)(C)C,CCCC[C@H](C)OC(=O)c1ccccc1,not_found,0.5791591416,1,not_found,0.2234064839,0,not_found,0.5497126211,1,not_found,0.5791591416,1,not_found,0.6312350086,1,not_found,5.61E-01,1.00E+00,not_found,0.630537027,1,not_found,0.04105687635,0,not_found,0.6282323228,1,not_found,0.630537027,1,not_found,0.6408253883,1,not_found,0.630537027,1,not_found,0.6305379102,1
C/C=C(\Oc1ccc2ccccc2c1)C(=O)O,CC[C@H](Oc1ccc2ccccc2c1)C(=O)O,not_found,0.8984391429,1,not_found,0.962694146,1,not_found,0.9633256521,1,not_found,0.913558128,1,not_found,0.913558128,1,not_found,0.9066663748,1,not_found,0.9066665707,1,not_found,0.913558128,1,not_found,0.913558128,1,not_found,0.913558128,1,not_found,0.913558128,1,not_found,0.9066665707,1,not_found,0.9752410428,1
COc1ccc(/C(C)=C/c2ccccc2)cc1,COc1ccc([C@H](C)Cc2ccccc2)cc1,0.9796256845,0.9343131369,1,0.9736528584,0.9800072101,1,0.9656984357,0.9740832055,1,0.9878006344,0.9203696235,1,0.9922127286,0.9922398446,1,0.9912518485,0.9825436608,1,0.9818544259,0.9648403947,1,0.9912518485,0.972236359,1,0.9912518485,0.0005556985665,0,0.9912518485,0.972236359,1,0.9656984357,0.972236359,1,0.9864688303,0.9690618112,1,0.9753723902,0.9448646436,1
C=C(NC(C)=O)c1ccc(OC)cc1,COc1ccc([C@@H](C)NC(C)=O)cc1,0.9865473997,0.1533638701,0,0.2681518092,0.9456391125,1,0.9466673172,0.1533638701,0,0.9466673172,0.9644288045,1,0.9466673172,0.1533638701,0,0.9466673172,0.6180143815,1,0.9930936444,0.9756822737,1,0.9930936444,0.9756822737,1,0.9930936444,0.6180143815,1,0.9930936444,0.5070287071,1,0.9807271076,0.9673584666,1,0.2681518092,0.9456391125,1,0.9908126614,0.9642882976,1
CC(=O)N/C(C#N)=C/c1ccccc1,CC(=O)N[C@H](C#N)Cc1ccccc1,not_found,0.1622972291,0,not_found,0.02500420159,0,not_found,0.1622972291,0,not_found,0.1622972291,0,not_found,0.7978219914,1,not_found,0.7978216823,1,not_found,0.7978219914,1,not_found,0.7978219914,1,not_found,0.7978219914,1,not_found,0.7978219914,1,not_found,0.7978219914,1,not_found,0.7978219914,1,not_found,0.797821076,1
C=C(c1ccccc1)C(C)(C)C,C[C@H](c1ccccc1)C(C)(C)C,0.9019733328,0.9161642706,1,0.8398119895,0.9122770224,1,0.968598686,0.9444122695,1,0.968598686,0.9621833608,1,0.8635456402,0.5386400316,1,0.9443413502,0.856537773,1,0.9443413502,0.9731457684,1,0.9443413502,0.8565375049,1,0.9443413502,0.8565375049,1,0.9443413502,0.9377973929,1,0.960819966,0.9731457684,1,0.9177445355,0.3400428586,0,0.9443413502,0.8565373263,1
C/C(=C\c1ccccc1)c1ccccc1,C[C@H](Cc1ccccc1)c1ccccc1,0.960564297,0.8897807662,1,0.9588234741,0.1514240841,0,0.9666548682,0.9703705616,1,0.9764304945,0.85866319,1,0.9750559352,0.9874264711,1,0.9666548682,0.9703705616,1,0.9666548682,0.9670201427,1,0.9666548682,0.9670201427,1,0.9666548682,0.9703705616,1,0.9666548682,0.9703705616,1,0.9666548682,0.9703705616,1,0.9773174757,0.9670201427,1,0.9666548682,0.9703705616,1
CC(=O)NC1=C(c2ccccc2)CCCC1,CC(=O)N[C@H]1CCCC[C@H]1c1ccccc1,0.8937217916,0.7622774528,1,0.9107996016,0.9432983264,1,0.9981499606,0.7622774528,1,0.9461328954,0.8876383397,1,0.6913859052,0.5932389401,1,0.9933213837,0.8876385249,1,0.8780425949,0.8876383397,1,0.8780425949,0.8876383397,1,0.8693493376,0.7803738772,1,0.8693493376,0.8876383397,1,0.6913859052,0.5932389401,1,0.9933213837,0.9578187121,1,0.9933213837,0.9578187121,1
C/C(=C\c1ccccc1)c1ccccc1,C[C@@H](Cc1ccccc1)c1ccccc1,0.9423860057,0.1102020997,0,0.9520269211,0.8483990183,1,0.9504024458,0.02958891553,0,0.9567971668,0.8446399401,1,0.957802827,0.9555786446,1,0.957802827,0.955578755,1,0.957802827,0.9483469837,1,0.957802827,0.9555786446,1,0.957802827,0.8687205401,1,0.957802827,0.8573561322,1,0.9581766944,0.8687205401,1,0.9329560738,0.03295747001,0,0.9572087852,0.7020985259,1
