Reactant,product
COC(=O)/C(=C/c1ccc(Cl)cc1)NC(C)=O,COC(=O)[C@H](Cc1ccc(Cl)cc1)NC(C)=O
C=C(c1ccccc1)C(C)(C)C,C[C@H](c1ccccc1)C(C)(C)C
COC(=O)/C(=C/c1ccccc1)NC(C)=O,COC(=O)[C@H](Cc1ccccc1)NC(C)=O
C/C=C(\Oc1ccccc1)C(=O)O,CC[C@@H](Oc1ccccc1)C(=O)O
C=C(CC)c1ccc(OC)cc1,CC[C@H](C)c1ccc(OC)cc1
C=C(CC(=O)OC)C(=O)OC,COC(=O)C[C@@H](C)C(=O)OC
COC(=O)/C(=C/c1ccccc1)NC(C)=O,COC(=O)[C@@H](Cc1ccccc1)NC(C)=O
COC(=O)/C(=C/c1ccccc1)NC(C)=O,COC(=O)[C@H](Cc1ccccc1)NC(C)=O
C=C(CC(C)C)c1ccccc1,CC(C)C[C@H](C)c1ccccc1
C1=C(N2CCCC2)c2ccccc2CC1,c1ccc2c(c1)CCC[C@@H]2N1CCCC1
CCOC(=O)/C(F)=C\c1ccccc1,CCOC(=O)[C@@H](F)Cc1ccccc1
C/C=C(/C)c1ccc(OC)cc1,CC[C@H](C)c1ccc(OC)cc1
C=C(OC(=O)c1ccccc1)P(=O)(OC)OC,COP(=O)(OC)[C@H](C)OC(=O)c1ccccc1
COc1ccc(/C(C)=C/c2ccccc2)cc1,COc1ccc([C@H](C)Cc2ccccc2)cc1
CC1(C)OB(/C(=C/c2ccccc2)N2CCOC2=O)OC1(C)C,CC1(C)OB([C@@H](Cc2ccccc2)N2CCOC2=O)OC1(C)C
O=C(O)/C=C(\c1ccccc1)c1ccc(Br)cc1,O=C(O)C[C@H](c1ccccc1)c1ccc(Br)cc1
CCOC(=O)/C=C1\Nc2ccccc2OC1=O,CCOC(=O)C[C@H]1Nc2ccccc2OC1=O
C=C(c1ccc(Cl)cc1)N(C)Cc1ccccc1,C[C@H](c1ccc(Cl)cc1)N(C)Cc1ccccc1
COC(=O)/C(=C/c1ccccc1)NC(C)=O,COC(=O)[C@@H](Cc1ccccc1)NC(C)=O
CON(C)C(=O)/C=C(\C)c1ccccc1,CON(C)C(=O)C[C@@H](C)c1ccccc1
C=C(NC(C)=O)c1ccc(C(F)(F)F)cc1,CC(=O)N[C@H](C)c1ccc(C(F)(F)F)cc1
C/C=C(\C)c1ccc(OC)cc1,CC[C@@H](C)c1ccc(OC)cc1
CC(C)(C)OC(=O)N1CCCC/C(=C\c2ccccc2)C1=O,CC(C)(C)OC(=O)N1CCCC[C@@H](Cc2ccccc2)C1=O
C=C(NC=O)C(=O)OC,COC(=O)[C@@H](C)NC=O
C=C(CC(=O)OC)C(=O)O,COC(=O)C[C@@H](C)C(=O)O
COC(=O)/C(=C/c1ccccc1Cl)NC(C)=O,COC(=O)[C@@H](Cc1ccccc1Cl)NC(C)=O
C/C(=C\c1ccccc1)c1ccccc1,C[C@@H](Cc1ccccc1)c1ccccc1
COc1ccc(/C=C(\C)CO)cc1,COc1ccc(C[C@@H](C)CO)cc1
CC(=O)N/C(=C\Cc1ccccc1)c1ccccc1,CC(=O)N[C@H](CCc1ccccc1)c1ccccc1
C/C(=C\c1ccccc1)c1ccccc1,C[C@H](Cc1ccccc1)c1ccccc1
CC/C=C(\NC(C)=O)c1ccccc1,CCC[C@H](NC(C)=O)c1ccccc1
