smiles1,map1,nbo_charge,bond_energy,Vbur,smiles2,map2,L,B1,B5
CN(C)p1([Rh+]p2(N(C)C)->oc3ccc4ccccc4c3c3c(ccc4ccccc43)o2)->oc2ccc3ccccc3c2c2c(ccc3ccccc32)o1,cat_1706,2.446505,N/A,0.8307922568020872,CN(C)p1oc2ccc3ccccc3c2c2c(ccc3ccccc32)o1,lig_1092,7.779326691153546,2.2868308072208468,10.77400163934584
Cc1cc(-c2c(-c3ccccc3)cc(-c3ccccc3)cc2-c2ccccc2)n2->c3c1CC[C@@H]3OP(C(C)(C)C)(->C(C)(C)C)[Ir+]2,cat_703,1.7454899999999998,-0.51269,0.8455378773760716,Cc1cc(-c2c(-c3ccccc3)cc(-c3ccccc3)cc2-c2ccccc2)nc2c1CC[C@@H]2OP(C(C)(C)C)C(C)(C)C,lig_1261,8.463361603107005,4.474618456026805,9.892677152035716
Cc1cc(C(C)(C)C)c2op(O[C@@H]3C[C@H](C)CC[C@H]3C(C)C)([Rh+]p3(O[C@@H]4C[C@H](C)CC[C@H]4C(C)C)->oc4c(C(C)(C)C)cc(C)c(C)c4c4c(C)c(C)cc(C(C)(C)C)c4o3)->oc3c(C(C)(C)C)cc(C)c(C)c3c2c1C,cat_1018,1.8230849999999998,-0.489445,0.8506161479686918,Cc1cc(C(C)(C)C)c2op(O[C@@H]3C[C@H](C)CC[C@H]3C(C)C)oc3c(C(C)(C)C)cc(C)c(C)c3c2c1C,lig_1482,7.273872832407859,4.764337036409355,8.305423420337606
CC(C)(C)P12->[C@H](c3ccccc3C1)[C@@H]1<-P(C(C)(C)C)(Cc3ccccc31)[Rh+]2,cat_1123,1.507525,-0.47039,0.6566751304509877,CC(C)(C)P1Cc2ccccc2[C@@H]1[C@H]1c2ccccc2CP1C(C)(C)C,lig_415,6.456242214165816,2.9125492849038714,8.454253188208316
CC[C@@H](Oc1cccc2c1P1(C(C)(C)C)->[C@@H](O2)[C@H]2<-P(C(C)(C)C)([Rh+]1)c1c(O[C@H](CC)c3ccccc3)cccc1O2)c1ccccc1,cat_10,1.5171899999999998,-0.45545,0.8261507640700708,CC[C@@H](Oc1cccc2c1P(C(C)(C)C)[C@H]([C@@H]1Oc3cccc(O[C@H](CC)c4ccccc4)c3P1C(C)(C)C)O2)c1ccccc1,lig_1045,7.156797102000812,4.606548361459529,9.945716303135784
C[C@H](NC(=S)Nc1ccccc1)C1=C2C=C[C@H]1[Fe][C@H]1C=CC=C1P(c1ccccc1)(->c1ccccc1)[Rh+]P2(c1ccccc1)->c1ccccc1,cat_377,1.5098600000000002,-0.45938500000000004,0.7600983041371598,C[C@H](NC(=S)Nc1ccccc1)C1=C(P(c2ccccc2)c2ccccc2)C=C[C@H]1[Fe][C@H]1C=CC=C1P(c1ccccc1)c1ccccc1,lig_664,None,None,None
COc1ccc(-c2c(C(C)(C)C)cc(-c3<-n4c5c(c(C)c3)CC[C@H]5OP(C(C)(C)C)(->C(C)(C)C)[Ir+]4)cc2C(C)(C)C)cc1,cat_392,1.33989,-0.48478,0.8185391818859485,COc1ccc(-c2c(C(C)(C)C)cc(-c3cc(C)c4c(n3)[C@H](OP(C(C)(C)C)C(C)(C)C)CC4)cc2C(C)(C)C)cc1,lig_643,14.108631231788793,2.8514883609050767,12.006077336542438
Cc1cc(C(C)(C)C)c2op(O[C@@H]3C[C@H](C)CC[C@H]3C(C)C)([Rh+]p3(O[C@@H]4C[C@H](C)CC[C@H]4C(C)C)->oc4c(C(C)(C)C)cc(C)c(C)c4c4c(C)c(C)cc(C(C)(C)C)c4o3)->oc3c(C(C)(C)C)cc(C)c(C)c3c2c1C,cat_1018,1.8230849999999998,-0.489445,0.8506161479686918,Cc1cc(C(C)(C)C)c2op(O[C@@H]3C[C@H](C)CC[C@H]3C(C)C)oc3c(C(C)(C)C)cc(C)c(C)c3c2c1C,lig_1482,7.273872832407859,4.764337036409355,8.305423420337606
C[C@@H](C1=C([P@]2(C)->CP(C(C)(C)C)(->C(C)(C)C)[Rh+]2)C=C[C@H]1[Fe]C1C=CC=C1)N(C)C,cat_1116,0.5878249999999999,-0.46877,0.8552751118151323,C[C@@H](C1=C([P@@](C)CP(C(C)(C)C)C(C)(C)C)C=C[C@H]1[Fe]C1C=CC=C1)N(C)C,lig_1108,9.87385177046902,4.157430291457355,6.7829181584854386
c1ccc([C@H]2CC[C@H](c3ccccc3)N2p2([Rh+]p3(N4[C@@H](c5ccccc5)CC[C@@H]4c4ccccc4)->oc4ccccc4c4ccccc4o3)->oc3ccccc3c3ccccc3o2)cc1,cat_1100,1.768165,-0.478735,0.9389268076779724,c1ccc([C@H]2CC[C@H](c3ccccc3)N2p2oc3ccccc3c3ccccc3o2)cc1,lig_568,8.286911232877166,3.992926603356636,7.581293146011136
c1ccc(P2(->c3ccccc3)[Rh+]P(c3ccccc3)(c3ccccc3)->c3ccc4c(c3-c3c2ccc2c3OCO2)OCO4)cc1,cat_105,1.5077600000000002,-0.45087,0.6893752329481924,c1ccc(P(c2ccccc2)c2ccc3c(c2-c2c(P(c4ccccc4)c4ccccc4)ccc4c2OCO4)OCO3)cc1,lig_578,8.339167491561776,5.1113078031428465,9.501141280745616
CN(C)p1([Rh+]p2(N(C)C)->oc3ccc4ccccc4c3c3c(ccc4ccccc43)o2)->oc2ccc3ccccc3c2c2c(ccc3ccccc32)o1,cat_1706,2.446505,N/A,0.8307922568020872,CN(C)p1oc2ccc3ccccc3c2c2c(ccc3ccccc32)o1,lig_1092,7.779326691153546,2.2868308072208468,10.77400163934584
C[C@H](NC(=S)Nc1ccccc1)C1=C2C=C[C@H]1[Fe][C@H]1C=CC=C1P(c1ccccc1)(->c1ccccc1)[Rh+]P2(c1ccccc1)->c1ccccc1,cat_377,1.5098600000000002,-0.45938500000000004,0.7600983041371598,C[C@H](NC(=S)Nc1ccccc1)C1=C(P(c2ccccc2)c2ccccc2)C=C[C@H]1[Fe][C@H]1C=CC=C1P(c1ccccc1)c1ccccc1,lig_664,None,None,None
c1ccc(P2(->c3ccccc3)[Ru+2]P(c3ccccc3)(c3ccccc3)->c3cccc4c3-c3c(cccc32)OCCCO4)cc1,cat_1340,1.5055749999999999,-0.5707,0.791127003354454,c1ccc(P(c2ccccc2)c2cccc3c2-c2c(cccc2P(c2ccccc2)c2ccccc2)OCCCO3)cc1,lig_1443,8.540020548805707,5.110262073908114,9.417502462588523
CN(C)p1([Rh+]p2(N(C)C)->oc3ccc4ccccc4c3c3c(ccc4ccccc43)o2)->oc2ccc3ccccc3c2c2c(ccc3ccccc32)o1,cat_1706,2.446505,N/A,0.8307922568020872,CN(C)p1oc2ccc3ccccc3c2c2c(ccc3ccccc32)o1,lig_1092,7.779326691153546,2.2868308072208468,10.77400163934584
CC(C)(C)P12->[C@@H](c3ccccc3C1)[C@H]1<-P(C(C)(C)C)(Cc3ccccc31)[Rh+]2,cat_1689,1.507515,-0.47040000000000004,0.6566518356317554,CC(C)(C)P1Cc2ccccc2[C@H]1[C@@H]1c2ccccc2CP1C(C)(C)C,lig_279,6.364272599698924,2.6795226330306505,8.0762751723396
c1ccc(P2([Rh+]P3(c4ccccc4)->Cc4ccc5ccccc5c4-c4c(ccc5ccccc45)C3)->Cc3ccc4ccccc4c3-c3c(ccc4ccccc34)C2)cc1,cat_477,1.51916,-0.43981000000000003,0.7997868524040254,c1ccc(P2Cc3ccc4ccccc4c3-c3c(ccc4ccccc34)C2)cc1,lig_1585,7.499018640582702,1.7625953962594072,8.345121793586621
Cc1ccccc1P1(c2ccccc2C)->N2[C@H]3CC[C@H](C3)[C@@H]2c2scc(-c3ccccc3)<-n2[Ir+]1,cat_1195,1.73241,-0.51415,0.7355339172568021,Cc1ccccc1P(c1ccccc1C)N1[C@H]2CC[C@H](C2)[C@@H]1c1nc(-c2ccccc2)cs1,lig_1599,7.241389414039459,3.331181734597786,9.827895602598105
CCc1cc2ccccc2c2c1O[PH](=O)([Rh+][PH]1(=O)->Oc3c(CC)cc4ccccc4c3-c3c(c(CC)cc4ccccc34)O1)->Oc1c(CC)cc3ccccc3c1-2,cat_280,1.568655,-0.51378,0.7875512486023108,CCc1cc2ccccc2c2c1O[PH](=O)Oc1c(CC)cc3ccccc3c1-2,lig_1479,6.897466778594041,2.813111772886019,8.27614153693408
CCC(CC(C)c1cc2cccc3c2<-n(c1)[Rh+]p1(->oc2ccc4ccccc4c2c2c(ccc4ccccc42)o1)N3)c1ccccc1,cat_444,2.00575,-0.54533,0.5749277860603802,CCC(CC(C)c1cnc2c(Np3oc4ccc5ccccc5c4c4c(ccc5ccccc54)o3)cccc2c1)c1ccccc1,lig_1206,14.18400755645154,1.8214556950047678,9.39242768636435
C[C@H]1CC[C@H](C)<-P12[Ni+2]P1(->[C@@H](C)CC[C@@H]1C)c1ccccc12,cat_1148,1.73434,-0.602365,0.6429311871039881,C[C@H]1CC[C@H](C)P1c1ccccc1P1[C@@H](C)CC[C@@H]1C,lig_1551,7.266353548120842,3.8943125465061685,7.250030266846478
C[C@H](NC(=S)Nc1ccccc1)C1=C2C=C[C@H]1[Fe][C@H]1C=CC=C1P(c1ccccc1)(->c1ccccc1)[Rh+]P2(c1ccccc1)->c1ccccc1,cat_377,1.5098600000000002,-0.45938500000000004,0.7600983041371598,C[C@H](NC(=S)Nc1ccccc1)C1=C(P(c2ccccc2)c2ccccc2)C=C[C@H]1[Fe][C@H]1C=CC=C1P(c1ccccc1)c1ccccc1,lig_664,None,None,None
CC(C)(C)c1cc(C2=N3->[C@H](CO2)c2ccccc2-c2ccccc2P(c2ccccc2)(->c2ccccc2)[Ir+]3)cc(C(C)(C)C)c1,cat_728,1.59432,-0.49608,0.7587472046216921,CC(C)(C)c1cc(C2=N[C@@H](c3ccccc3-c3ccccc3P(c3ccccc3)c3ccccc3)CO2)cc(C(C)(C)C)c1,lig_187,11.258964521421836,5.12996215831976,8.048764960263343
c1ccc([C@H]2CC[C@H](c3ccccc3)N2p2([Rh+]p3(N4[C@@H](c5ccccc5)CC[C@@H]4c4ccccc4)->oc4ccccc4c4ccccc4o3)->oc3ccccc3c3ccccc3o2)cc1,cat_1100,1.768165,-0.478735,0.9389268076779724,c1ccc([C@H]2CC[C@H](c3ccccc3)N2p2oc3ccccc3c3ccccc3o2)cc1,lig_568,8.286911232877166,3.992926603356636,7.581293146011136
