Reactant,product,5p dft,5p catscore,accuracy,10p dft,10p catscore,accuracy,20p dft,20p catscore,accuracy,50p dft,50p catscore,accuracy,100p dft,100p catscore,accuracy,target dft,f_theta,accuracy,1layer,1layer catscore,accuracy,2layer,2layer catscore,accuracy,3layer,3layer catscore,accuracy,4layer,4layer catscore,accuracy,5layer,5layer catscore,accuracy,base dft,base catscore,accuracy,large dft,large catscore,accuracy
COC(=O)/C(=C/c1ccc(C)o1)NC=O,COC(=O)[C@@H](Cc1ccc(C)o1)NC=O,0.8738344712,0.9337081561,1,0.9616659042,0.9485078736,1,0.9849975084,0.9969008165,1,0.8738344712,0.9337081561,1,0.8738344712,0.9337081561,1,0.954104492,0.9723461674,1,0.954104492,0.9723462797,1,0.9667924309,0.9723462797,1,0.9667924309,0.9723462797,1,0.9667924309,0.9723462797,1,0.9667924309,0.9723462797,1,0.9667924309,0.9337081561,1,0.9667924309,0.9963818348,1
CCOC(=O)CC1=CCCCC1C(=O)OC,CCOC(=O)C[C@H]1CCCCC1C(=O)OC,0.8741735502,0.6997462049,1,0.1291206968,0.436251235,0,0.2724992569,0.9382940721,1,0.8741735502,0.6997462049,1,0.8828727653,0.8710896994,1,0.9064459241,0.8896135888,1,0.8828727653,0.8710896994,1,0.9024535879,0.8710896994,1,0.9024535879,0.8710896994,1,0.9024535879,0.8710896994,1,0.9024535879,0.8710896994,1,0.8741735502,0.8710896994,1,0.1291206968,0.8710896994,1
CC(=O)N/C(=C/S(C)(=O)=O)c1ccccc1,CC(=O)N[C@@H](CS(C)(=O)=O)c1ccccc1,0.6030875261,0.7992426554,1,0.5881311065,0.5311759912,1,0.7778540499,0.7043706252,1,0.7809873796,0.7043706252,1,0.5881311065,0.5311759912,1,0.6315265829,0.7318651729,1,0.5881311065,0.5311769411,1,0.583464555,0.5311759912,1,0.6359532952,0.5311759912,1,0.686525564,0.5311759912,1,0.5906344046,0.5311759912,1,0.5640417508,0.5311759912,1,0.583464555,0.5311759912,1
COC(=O)/C=C(\C#N)c1ccccc1,COC(=O)C[C@@H](C#N)c1ccccc1,0.4436788346,0.5279115076,1,0.4436788346,0.5279115076,1,0.7649606337,0.4588079325,0,0.6880028727,0.4472121494,0,0.2961738863,0.5183395766,1,0.1481714907,0.3844768266,0,0.6861374513,0.4440863886,0,0.952371266,0.4682288148,0,0.952371266,0.4682288148,0,0.7742920097,0.4440858857,0,0.8619242595,0.4682288148,0,0.8608422646,0.4440858857,0,0.3590562388,0.967266148,1
CCOC(=O)C1=C(NC(C)=O)CCC1,CCOC(=O)[C@H]1CCC[C@H]1NC(C)=O,0.9998916869,0.7817570065,1,0.9999995182,0.9760512182,1,0.9998916869,0.4064312958,0,0.9934126787,0.9731071874,1,0.9934126787,0.9731071874,1,0.9882858125,0.9712308978,1,0.9934126787,0.9731071874,1,0.9999999989,0.9731071874,1,0.9999997312,0.9731071874,1,0.9999999786,0.9717183244,1,0.999999899,0.9712251722,1,0.999999877,0.9731071874,1,0.9999999702,0.9731071874,1
OCC1=Cc2ccccc2OC1,OC[C@@H]1COc2ccccc2C1,0.7151290076,0.7607588394,1,0.756684986,0.8996988788,1,0.5398839447,0.7607588394,1,0.9947461855,0.73444245,1,0.9476242781,0.92989315,1,0.8293084899,0.9414415803,1,0.9476242781,0.9298929422,1,0.621918607,0.92989315,1,0.621918607,0.92989315,1,0.6290581284,0.7558831235,1,0.6290581284,0.92989315,1,0.621918607,0.92989315,1,0.621918607,0.7164775781,1
O=C1C=C(c2ccccc2)C(=O)O1,O=C1C[C@H](c2ccccc2)C(=O)O1,0,0.555,1,0.546850749,0.5503917761,1,0,0.935,1,1,0.6756380125,1,0.8001340085,0.5543114401,1,0.9557264886,0.9351631487,1,0.8278840497,0.5188342633,1,0.0000263,0.554,1,0.000416279555,0.5543114401,1,0.0000577,0.54,1,0.0000394,0.54,1,0.0001509586049,0.5543114401,1,0.0001509586049,0.9351632532,1
C=C(OC(=O)N(c1ccccc1)c1ccccc1)c1ccccc1,C[C@H](OC(=O)N(c1ccccc1)c1ccccc1)c1ccccc1,0.8236499735,0.4904821451,0,0.6789937144,0.6325692661,1,0.8914851193,0.9657055842,1,0.5152468023,0.6419028139,1,0.7272300895,0.5693374892,1,0.6924605781,0.3300537479,0,0.7272300895,0.5693379643,1,0.8998950949,0.5693374892,1,0.8998950949,0.5693374892,1,0.9017925439,0.6419028139,1,0.9017925439,0.5693374892,1,0.8998950949,0.6419028139,1,0.8914851193,0.7729699754,1
CC/C=C(/NC(C)=O)c1ccccc1,CCC[C@H](NC(C)=O)c1ccccc1,0.6125550459,0.5872630276,1,0.9620272205,0.08116880586,0,0.9667369307,0.5872630276,1,0.6125550459,0.5872630276,1,0.6125550459,0.5872630276,1,0.6125550459,0.5872630276,1,0.6125550459,0.5872634826,1,0.9832374412,0.5872630276,1,0.9753684161,0.92914302,1,0.9832374412,0.5872630276,1,0.9753684161,0.5872630276,1,0.9753684161,0.5872630276,1,0.9670805399,0.5872630276,1
CC1=Cc2ccccc2CC1,C[C@H]1CCc2ccccc2C1,0.9492177314,0.4917805504,0,0.9284709085,0.2794400689,0,0.6176973334,0.411540084,0,0.517183882,0.4340758131,0,0.9894833699,0.1893999174,0,0.6157446406,0.3850203568,0,0.9883608202,0.9664135252,1,0.3504439166,0.1918518438,0,0.7243524943,0.1893999174,0,0.9921726508,0.9664134136,1,0.4058524823,0.6464685561,1,0.3172638906,0.8011266915,1,0.5739216442,0.5844213667,1
CC(=O)NC1=CCCC(c2ccccc2)=C1,CC(=O)N[C@H]1C=C(c2ccccc2)CCC1,0.9171770369,0.7177341317,1,0.9786615161,0.9703534868,1,0.9993421665,0.7177341317,1,0.76029395,0.8015681385,1,0.9733546727,0.9604064683,1,0.9733546727,0.9604065792,1,0.9733546727,0.9604063609,1,0.9856833499,0.9604064683,1,0.9856833499,0.9604064683,1,0.5,0.9604064683,1,0.9808683668,0.9604064683,1,0.9549638038,0.9604064683,1,0.961325125,0.9604064683,1
CCOC(=O)/C=C(\C)c1ccc(OC)cc1,CCOC(=O)C[C@H](C)c1ccc(OC)cc1,0.7809822362,0.524222235,1,0.9895900196,0.5963776167,1,0.9612644717,0.7706950625,1,0.9612644717,0.07959377314,0,0.9812596564,0.009793497402,0,0.9782006324,0.4920362504,0,0.9871651635,0.9388680764,1,0.9930373635,0.9084726047,1,0.9930373635,0.7321331735,1,0.9930373635,0.9388681813,1,0.9930373635,0.02858606847,0,0.9930373635,0.02858606847,0,0.9930373635,0.02858606847,0
C=C(B1OC(C)(C)C(C)(C)O1)c1ccccc1,C[C@H](B1OC(C)(C)C(C)(C)O1)c1ccccc1,0.7138412162,0.4846220468,0,0.8863794949,0.570029576,1,0.9904532318,0.4555793995,0,0.003347231359,0.4804639498,0,0.6613522185,0.7423013782,1,0.8503770508,0.6828413272,1,0.9099957721,0.8397678766,1,0.9904532318,0.8397681268,1,0.9904532318,0.8397681268,1,0.9904532318,0.7423013782,1,0.9904532318,0.7423013782,1,0.9904532318,0.7423013782,1,0.9904532318,0.8397681268,1
C/C(=C\c1ccccc1)CO,CC(CO)[C@@H](C)c1ccccc1,0.9625274378,0.000084,0,0.8364135856,0.000062,0,0.9988499761,0.00000163,0,0.5358783264,0.0001045700654,0,0.96,0.9173392789,1,0.9914589106,0.08739244354,0,0.795,0.9160738311,1,0.9637631395,0.9173392789,1,0.953372321,0.9173392789,1,0.953372321,0.003652298351,0,0.9637631395,0.9160740291,1,0.953372321,0.9173392789,1,0.9695068379,0.02609782998,0
