Reactant,product,ee,nbo_charge,bond_energy,Vbur,L,B1,B5
COC(=O)/C(=C/c1cccnc1)NC(C)=O,COC(=O)[C@H](Cc1cccnc1)NC(C)=O,1,1.486675,-0.444365,0.7218889769,11.50616514,3.658182778,6.978065174
CCOC(=O)/C=C(/c1ccc(C)cc1)P(=O)(OCC)OCC,CCOC(=O)/C=C(/c1ccc(C)cc1)P(=O)(OCC)OCC,1,1.69298,-0.5145,0.6905807398,8.36477452,2.634392033,7.862790535
COCO/C=C(\NC(C)=O)c1ccc2ccccc2c1,COCOC[C@@H](NC(C)=O)c1ccc2ccccc2c1,1,1.487465,-0.49276,0.6965442136,12.01538448,2.533127005,7.23805829
C=C(NC(C)=O)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,CC(=O)N[C@H](C)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,1,1.52527,-0.468885,0.6591618524,7.26422468,3.417781681,6.960463413
CCO/C(=C\c1ccccc1)C(=O)O,CCO[C@@H](Cc1ccccc1)C(=O)O,1,1.6228,-0.49493,0.7303158777,10.21388909,3.546088835,10.51236583
COC(=O)/C(=C/c1ccc(OC(C)=O)c(OC)c1)NC(C)=O,COC(=O)[C@@H](Cc1ccc(OC(C)=O)c(OC)c1)NC(C)=O,1,1.522825,-0.470795,0.6363562244,9.283497453,3.534725792,6.938908946
C=C(NC(C)=O)c1ccccc1,CC(=O)N[C@@H](C)c1ccccc1,1,1.69055,-0.485035,0.6781238353,10.72140914,4.157778201,9.234703224
O=C(O)/C(=C/c1ccccc1)OCc1ccccc1,O=C(O)[C@H](Cc1ccccc1)OCc1ccccc1,1,1.6228,-0.49493,0.7303158777,10.21388909,3.546088835,10.51236583
COC(=O)/C=C(/NC(C)=O)C(C)(C)C,COC(=O)C[C@@H](NC(C)=O)C(C)(C)C,1,1.467035,-0.57073,0.7853557119,9.279831911,4.756758476,9.316611589
COC(=O)/C=C(/NC(C)=O)C(C)(C)C,COC(=O)C[C@@H](NC(C)=O)C(C)(C)C,1,1.47995,-0.572715,0.7891993571,8.346862635,5.130934713,9.345720836
